,word,valence_1,arousal_1,valence_2,arousal_2,valence_3,arousal_3,valence_4,arousal_4,valence_5,arousal_5,valence_6,arousal_6
0,антипатия,1,3,3,7,1,4,3,4,2,1,3,7
1,апатия,5,1,2,4,1,1,2,3,1,4,2,8
2,азарт,7,7,5,9,8,9,8,9,9,10,5,6
3,ажиотаж,4,8,3,8,8,10,7,5,4,1,8,8
4,бешенство,1,10,1,10,1,10,5,6,5,3,2,7
5,беспамятство,5,5,5,2,2,3,4,1,7,2,5,3
6,беспокойство,4,6,3,7,1,7,3,3,2,8,5,3
7,безнадежность,3,3,1,10,1,5,3,1,1,10,4,9
8,безысходность,2,2,1,10,1,3,2,1,1,10,3,10
9,благодарность,9,8,8,5,8,6,5,7,8,4,9,4
10,блаженство,10,10,9,8,10,8,7,5,9,5,8,7
11,досада,2,4,4,2,2,6,4,3,2,5,4,6
12,доверие,9,8,9,6,10,4,6,6,10,7,10,7
13,экстаз,10,10,10,10,6,8,7,9,10,10,6,8
14,экзальтация,4,10,7,8,8,8,7,6,5,8,5,8
15,гнев,1,10,1,10,1,10,4,2,2,10,2,8
16,гордость,4,7,4,8,9,7,4,5,2,6,7,6
17,горечь,2,7,3,9,3,7,4,5,3,6,3,7
18,грусть,3,7,3,6,1,4,5,4,1,4,3,8
19,испуг,2,8,2,8,3,7,5,3,4,6,3,7
20,изумление,6,10,8,5,9,7,7,5,6,4,7,6
21,ярость,5,10,1,10,2,10,3,1,2,10,2,8
22,конфуз,1,3,3,5,2,6,4,4,5,5,5,3
23,любовь,10,10,10,10,10,8,10,10,10,7,7,5
24,меланхолия,5,5,3,3,5,4,6,5,5,5,5,4
25,мучение,3,8,1,10,1,10,1,2,2,9,1,9
26,надрыв,3,10,3,6,7,8,3,3,6,10,3,3
27,наслаждение,9,9,10,7,10,4,10,5,10,7,10,7
28,недоумение,4,6,3,5,4,5,3,8,3,7,5,6
29,недовольство,3,8,1,8,3,7,2,9,2,8,2,6
30,негодование,2,9,1,7,1,10,4,6,1,9,1,9
31,неистовство,1,10,1,9,1,10,1,10,1,10,1,10
32,неловкость,5,5,4,7,4,4,3,8,4,5,3,4
33,ненависть,2,8,1,9,1,10,1,8,2,9,1,10
34,неприятность,3,7,1,8,3,5,3,9,3,5,1,4
35,нерешительность,4,6,4,5,4,4,5,6,4,4,3,4
36,нетерпение,4,6,5,6,2,7,2,9,4,7,3,10
37,недовольствие,4,7,3,6,3,6,4,7,3,7,1,10
38,неуверенность,3,7,4,6,4,4,2,9,5,5,2,5
39,нежелание,4,5,5,7,4,5,1,6,3,7,2,7
40,обида,4,5,3,6,2,8,1,10,2,9,1,9
41,облегчение,7,6,6,6,10,7,8,8,7,7,8,3
42,огорчение,4,5,3,7,2,8,2,7,3,8,2,6
43,омерзение,3,8,1,9,1,10,2,7,1,10,1,8
44,опасение,4,5,3,8,3,6,2,8,3,7,2,9
45,отчаяние,3,8,2,9,1,10,1,9,2,9,1,10
46,оторопь,4,7,4,6,1,10,1,9,4,7,3,5
47,отвращение,2,9,1,9,1,10,1,7,2,9,2,9
48,ожесточение,3,8,1,9,1,9,1,10,2,9,1,8
49,озлобление,3,7,2,9,2,9,1,10,2,8,1,4
50,паника,3,8,3,10,1,9,2,10,1,10,1,1
51,печаль,3,5,2,7,2,8,2,10,4,6,2,2
52,переживание,3,4,2,8,4,7,2,10,5,5,3,6
53,потрясение,3,8,5,9,1,10,1,10,3,7,3,8
54,презрение,3,8,1,9,2,9,4,6,2,6,1,7
55,прискорбие,3,5,4,7,1,7,2,4,2,8,7,5
56,признательность,9,8,8,6,7,7,8,6,9,5,7,4
57,радость,10,8,7,6,10,8,10,8,10,4,8,8
58,раскаяние,1,10,6,8,5,7,2,9,4,6,4,4
59,растерянность,3,9,4,3,3,6,3,7,2,3,3,3
60,раздражение,2,9,3,7,3,7,1,10,1,7,4,4
61,раж,9,10,6,10,6,10,4,10,5,5,4,4
62,разочарование,4,4,4,6,4,7,2,7,2,7,2,2
63,ревность,2,6,3,5,3,8,1,8,3,5,2,2
64,счастье,10,7,10,10,10,10,10,4,10,8,9,9
65,симпатия,9,8,7,7,8,8,8,6,7,6,7,7
66,скорбь,1,8,1,10,2,8,3,4,4,8,3,3
67,скука,3,3,4,6,5,1,2,1,3,2,4,4
68,смятение,2,8,5,8,6,6,3,6,2,8,3,3
69,смущение,5,7,6,6,7,7,6,6,5,7,3,3
70,сочувствие,8,5,8,5,8,8,6,6,7,4,6,6
71,сострадание ,8,6,8,8,4,8,6,6,7,5,7,7
72,сожаление,4,3,4,7,4,8,3,4,5,7,4,4
73,спокойствие,9,1,5,5,6,5,9,1,5,1,8,8
74,страдание,1,8,2,8,3,9,1,10,1,10,2,2
75,страх,1,10,1,10,1,8,1,9,1,9,2,2
76,страсть,6,10,9,10,6,10,8,9,3,7,8,8
77,стыд,3,9,3,7,5,6,2,8,4,7,3,3
78,тоска,3,5,4,7,5,1,3,4,3,5,3,3
79,трепет ,9,7,5,5,6,8,8,5,6,5,7,7
80,тревога,2,10,2,8,2,7,2,8,2,9,2,2
81,удивление,7,5,5,5,5,6,6,7,6,8,7,7
82,удовлетворение,6,8,10,4,8,4,8,10,6,2,7,5
83,удовольствие,8,9,10,5,9,7,6,10,8,5,6,3
84,умиление,10,8,8,6,7,5,4,1,9,8,7,5
85,уныние,3,3,3,1,3,8,8,3,2,5,6,7
86,упоение,9,10,8,6,7,7,1,1,8,7,8,7
87,утешение,6,6,4,7,4,3,5,5,4,3,7,5
88,уважение,10,8,9,3,9,3,7,9,9,3,8,5
89,увлечение,8,8,10,7,6,9,4,8,7,8,8,6
90,ужас,1,10,1,8,3,10,10,10,1,10,2,10
91,влюбленность,10,6,9,8,10,10,5,10,9,10,10,10
92,волнение,5,6,4,9,4,7,5,10,5,9,4,8
93,восхищение,10,8,8,5,10,7,6,6,10,10,7,6
94,восторг,10,10,8,7,10,8,8,6,10,10,9,9
95,возбуждение,5,7,7,8,7,10,8,6,8,9,6,8
96,возмущение,1,8,4,6,5,8,10,6,2,9,6,3
97,забытие,5,5,5,2,2,1,10,10,2,6,3,1
98,задор,8,8,8,8,7,6,6,6,9,4,5,4
99,задумчивость,6,5,6,3,5,4,4,1,5,2,6,3
100,замешательство,3,6,4,6,2,5,5,6,3,6,5,4
101,зависть,3,8,2,7,2,7,1,1,2,6,3,7
102,жалость,6,6,2,4,3,5,1,4,1,8,4,3
103,желание,6,8,6,8,8,7,7,10,7,7,7,10
104,злоба,2,9,1,10,3,8,2,9,1,9,3,7
105,злорадство,1,10,5,8,1,8,2,3,1,8,1,8
